company_name,disposed_cases,pending_cases,debt_to_equity,profit_margin
Reliance Industries,245,95,0.42,18.5
State Bank of India,180,72,0.28,3.2
HDFC Bank,165,48,0.15,22.1
Infosys,220,55,0.05,21.8
TCS (Tata Consultancy),210,45,0.12,19.5
Bharti Airtel,190,110,0.85,8.3
ICICI Bank,175,68,0.32,4.1
Axis Bank,155,62,0.38,2.9
Bajaj Auto,200,42,0.22,16.7
Maruti Suzuki,185,51,0.18,7.5
Dr. Reddy Labs,170,38,0.08,14.2
Wipro,215,65,0.10,18.9
HCL Technologies,195,52,0.14,17.3
Larsen Toubro,225,88,0.65,6.8
Adani Ports,180,105,1.15,9.4
Coal India,240,125,0.78,11.2
HDFC Ltd,155,35,0.22,8.6
Kotak Mahindra,165,48,0.30,5.2
Power Grid,220,98,0.92,7.9
Sun Pharma,175,44,0.12,13.5
