Report Name,Verdict,Headers Found
Age-Category Amount Wise Report,Error/Timeout,
Govt. Agency Mutual Settlement,GOLD MINE (Granular),"S.No., Govt. Agency, Total Mutual Settled Applications by Govt. Agency, Amount Payable in Mutually Settled Applications
(Rs. Crore), Mutually Settled Amount By Govt. Agency
(Rs. Crore)"
State Pending Report,Requires Input (Dropdowns/Filters),
District Pending Report,GOLD MINE (Granular),"S.No., State Name, District Name, Applications filed by MSEs, Application Pending, Cases Pending, Total Pending (Application + Cases)"
Central Ministry,GOLD MINE (Granular),"S.No., Ministry, Applications filed by MSEs, Applications Visible to Council after 15 days, Applications Converted into Case by MSEFC Council, Applications Disposed by MSEFC Council, Applications Reject by MSEFC Council, Applications Pending*, Mutually Settled"
Central Department,GOLD MINE (Granular),"S.No., Central Department, Applications filed by MSEs, Applications Visible to Council after 15 days, Applications Converted into Case by MSEFC Council, Applications Disposed by MSEFC Council, Applications Reject by MSEFC Council, Applications Pending*, Mutually Settled"
Central PSU,GOLD MINE (Granular),"S.No., Central P.S.U, Applications filed by MSEs, Applications Visible to Council after 15 days, Applications Converted into Case by MSEFC Council, Applications Disposed by MSEFC Council, Applications Reject by MSEFC Council, Applications Pending*, Mutually Settled"
Railway Zones,GOLD MINE (Granular),"S.No., Railway Zone, Applications filed by MSEs, Applications Visible to Council after 15 days, Applications Converted into Case by MSEFC Council, Applications Disposed by MSEFC Council, Applications Reject by MSEFC Council, Applications Pending*, Mutually Settled"
Railway Divisions,GOLD MINE (Granular),"S.No., Railway Division, Applications filed by MSEs, Applications Visible to Council after 15 days, Applications Converted into Case by MSEFC Council, Applications Disposed by MSEFC Council, Applications Reject by MSEFC Council, Applications Pending*, Mutually Settled"
Ordnance Factories,GOLD MINE (Granular),"S.No., Ordnance Factory, Applications filed by MSEs, Applications Visible to Council after 15 days, Applications Converted into Case by MSEFC Council, Applications Disposed by MSEFC Council, Applications Reject by MSEFC Council, Applications Pending*, Mutually Settled"
State Govt.,GOLD MINE (Granular),"S.No., State Govt., Applications filed by MSEs, Applications Visible to Council after 15 days, Applications Converted into Case by MSEFC Council, Applications Disposed by MSEFC Council, Applications Reject by MSEFC Council, Applications Pending*, Mutually Settled"
Age-State Wise Pendency Report,Requires Input (Dropdowns/Filters),
Support and Outreach Dashboard,GOLD MINE (Granular),"S.No, State, District, Applications filed by MSEs, Applications Converted into Case by MSEFC Council, Applications Disposed by MSEFC Council, Applications Reject by MSEFC Council, Applications Pending*, Mutually Settled, S.No, State, District, Applications filed by MSEs, Applications Converted into Case by MSEFC Council, Applications Disposed by MSEFC Council, Applications Reject by MSEFC Council, Applications Pending*, Mutually Settled"
Age-Category Wise Pendency Report,GOLD MINE (Granular),"S.No., Respondent Name, Applications filed by MSEs, Applications Disposed by MSEFC Council, Action Taken by MSEFC Council, Pending as of now, Pending 0 to 15 days, Pending 16 to 30 days, Pending 31 to 60 days, Pending 61 to 90 days, Pending 91 to 180 days, Pending 181 to 365 days, Pending more than 1 year"
Age-District Wise Pendency Report,GOLD MINE (Granular),"S.No., State, District, Applications filed by MSEs, Applications Disposed by MSEFC Council, Action Taken by MSEFC Council, Pending as of now, Pending 0 to 15 days, Pending 16 to 30 days, Pending 31 to 60 days, Pending 61 to 90 days, Pending 91 to 180 days, Pending 181 to 365 days, Pending more than 1 year"
CPSEs Onboarded On TReDS Platform,Error/Timeout,
All Category Amount Report,Requires Input (Dropdowns/Filters),
FY State Wise Report,Requires Input (Dropdowns/Filters),
FY Council Wise Report,Requires Input (Dropdowns/Filters),
FY Council Wise Cases Report,Requires Input (Dropdowns/Filters),
Pending Amount Report,Requires Input (Dropdowns/Filters),
Dashboard Amount Report,Requires Input (Dropdowns/Filters),
CPSEs Group Report with Amount,Requires Input (Dropdowns/Filters),
PAN/GSTN Report,GOLD MINE (Granular),"Sr/No., Total Entrepreneur Application Have Pan/GSTIN No. of buyer, Entrepreneur want send all detail to NeSl and Notice after disposal of application, Entrepreneur want share the buyer detail to NeSl and not want to send the Notice after disposal of application, Entrepreneur not have Pan/GSTIN of buyer but confirmed that NeSL will send notice after disposal of application, Entrepreneur not have Pan/GSTIN No. of buyer and not want to send notice after disposal of application, Sr/No., Updated PAN/GSTN Application, Entrepreneur Confirmed about receiving the money after Disposal of the case, Entrepreneur Confirmed about not receiving the money after Disposal of the case (Non Govt. Category), Entrepreneur Confirmed about not receiving the money after Disposal of the case (Govt. Category), Entrepreneur updated the PAN/GSTIN only and remaining fields are not updated"
